author,desc,rating,reviews,title,totalratings,New_genre,Business,Classics,Comics,Contemporary,Crime,Fantasy,Fiction,History,Horror,Humor,Manga,Mystery,Nonfiction,Philosophy,Poetry,Psychology,Religion,Romance,Science,Suspense,Thriller
"Benjamin A. Rifkin,Michael J. Ackerman","Praised by ,Nature, (""stunning""), the ,London Times, (""remarkable""), and the ,Guardian, (""mesmeric""), this lavishly illustrated book chronicles the remarkable history of anatomical illustration. Before the invention of photography, artists played an essential role in medical science, recording human anatomy in startlingly direct and often moving images. Over 400 years, beginning with Vesalius, they charted the main systems of the body, made precise studies of living organs, documented embryonic development, and described pathologies. ,Human Anatomy, includes portfolios of the work of 19 great anatomical artists, with concise biographies, and culminates with the Visible Human Project, which uses digital tools to visualize the human body.,Praise for ,Human Anatomy:,""From Leonardo da Vinci's exquisite pen-and-ink drawings of the human skeleton to the digital Visible Human Project in its three-dimensional glory, this fascinating book . . . documents more than 500 years of anatomical illustration in living color."",Â -Scientific American ",4.35,21,Human Anatomy: A Visual History from the Renaissance to the Digital Age,225,Nonfiction,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Stephen Toulmin,"In the seventeenth century, a vision arose which was to captivate the Western imagination for the next three hundred years: the vision of Cosmopolis, a society as rationally ordered as the Newtonian view of nature. While fueling extraordinary advances in all fields of human endeavor, this vision perpetuated a hidden yet persistent agenda: the delusion that human nature and society could be fitted into precise and manageable rational categories. Stephen Toulmin confronts that agendaâ€”its illusions and its consequences for our present and future world.,""By showing how different the last three centuries would have been if Montaigne, rather than Descartes, had been taken as a starting point, Toulmin helps destroy the illusion that the Cartesian quest for certainty is intrinsic to the nature of science or philosophy.""â€”Richard M. Rorty, University of Virginia,""[Toulmin] has now tackled perhaps his most ambitious theme of all. . . . His aim is nothing less than to lay before us an account of both the origins and the prospects of our distinctively modern world. By charting the evolution of modernity, he hopes to show us what intellectual posture we ought to adopt as we confront the coming millennium.""â€”Quentin Skinner, ,New York Review of Books",3.95,29,Cosmopolis: The Hidden Agenda of Modernity,305,Philosophy,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Brian Froud,Ari Berk","Drawing inspiration from the gnarled shrubbery of England's windswept moorlands, Brian Froud is best known for being the mad genius behind Jim Henson's film The Dark Crystal and illustrating such best-sellers as Lady Cottington's Pressed Fairy Book. In this volume, a long-awaited sequel to his international best-sellers Faeries and Good Faeries/Bad Faeries, Froud returns to the world of faerie with a wealth of new, never-before-seen paintings, watercolors, and drawings. Brian Froud's World of Faerie offers us a startling new vision of the magical realm, enhanced by Froud's own words about his experiences and insights. This lavish, full-color book opens the door to Brian Froud's wondrous imagination as never before. It presents beautiful portrayals of faeries that have touched hearts and minds for generations. World of Faerie is by far Froud's most personal book, and represents this visionary artist and creator of fantasy worlds at the pinnacle of his powers. This encompassing volume is a must-have for faerie and fantasy fans of all ages, the world over.",4.46,33,Brian Froud's World of Faerie,2099,Fantasy,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jordan  Stratford,Donald Donato",The controversial and influential Gnostic accounting of the Gospel of John; appearing in English for the first time.,4.33,0,The Levitikon,9,Religion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Jean Lave," ,In this extended meditation, Jean Lave interweaves analysis of the process of apprenticeship among the Vai and Gola tailors of Liberia with reflections on the evolution of her research on those tailors in the late 1970s. In so doing, she provides both a detailed account of her apprenticeship in the art of sustained fieldwork and an insightful overview of thirty years of changes in the empirical and theoretical facets of ethnographic practice. Examining the issues she confronted in her own work, Lave shows how the critical questions raised by ethnographic research erode conventional assumptions, altering the direction of the work that follows.,As ethnography takes on increasing significance to an ever widening field of thinkers on topics from education to ecology, this erudite but accessible book will be essential to anyone tackling the question of what it means to undertake critical and conceptually challenging fieldwork. ,Apprenticeship in Critical Ethnographic Practice, explains how to seriously explore what it means to be human in a complex worldâ€”and why it is so important.",3.92,1,Apprenticeship in Critical Ethnographic Practice,13,Nonfiction,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"T. Pines,D.E. Athkins,Judith Bauer Stamper,R.L. Stine,Ellen Emerson White,Patricia Windsor,A. Bates,Jay Bennett,Caroline B. Cooney,Carol Ellis,Diane Hoh,Lael Littke,Christopher Pike,Sinclair Smith","You don't really want to read this ...do you? The masters of horror are waiting to take you on a terrifying ride, and there are 13 stops.,Meet the new guy in town, very handsome, very sexy, and very deadly.,Dine on sweet and wonderfully inviting confections - they're good to the last breath.,Learn that some spells can never be broken...,Inside you'll find the works of 13 masters of horror. Let Christopher Pike, R.L. Stine and the rest of our macabre crew show you the beauty in your worst nightmares - and the terror in your most exquisite dreams...., * viii â€¢ Introduction (Thirteen) â€¢ (1991) â€¢ essay by T. Pines, * 1 â€¢ Collect Call: The Black Walker: Part I â€¢ (1991) â€¢ novella by Christopher Pike, * 49 â€¢ Lucinda â€¢ (1991) â€¢ novelette by Lael Littke, * 73 â€¢ The Guiccioli Miniature â€¢ (1991) â€¢ shortstory by Jay Bennett, * 83 â€¢ Blood Kiss â€¢ (1991) â€¢ novelette by D. E. Athkins, * 103 â€¢ A Little Taste of Death â€¢ (1991) â€¢ novelette by Patricia Windsor, * 127 â€¢ The Doll â€¢ (1991) â€¢ novelette by Carol Ellis, * 149 â€¢ House of Horrors â€¢ (1991) â€¢ shortstory by J. B. Stamper, * 165 â€¢ Where the Deer Are â€¢ (1991) â€¢ novelette by Caroline B. Cooney, * 183 â€¢ The Spell â€¢ (1991) â€¢ novelette by R. L. Stine, * 205 â€¢ Dedicated to the One I Love â€¢ (1991) â€¢ novelette by Diane Hoh, * 231 â€¢ Hacker â€¢ (1991) â€¢ novelette by Sinclair Smith, * 257 â€¢ Deathflash â€¢ (1991) â€¢ novelette by A. Bates, * 279 â€¢ The Boy Next Door â€¢ (1991) â€¢ novelette by Ellen Emerson White, * 305 â€¢ Collect Call: The Black Walker: Part II â€¢ (1991) â€¢ novella by Christopher Pike, * 331 â€¢ About the Authors (Thirteen) â€¢ (1991) â€¢ essay by uncredited",3.78,95,Thirteen Tales of Horror,1649,Horror,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Richard    Newton,"The core contents of this book follow a standard project management process starting in initial concept identification, and going through to complete implementation. At each stage there are tasks and problems that face project managers, and for each identified task or problem there will be a checklist.",3.68,2,Brilliant Checklists for Project Managers: Your Shortcut to Brilliant Checklists for Project Managers: Your Shortcut to Success Success,31,Business,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Angus J.L. Menuge,Michael Ruse","In the first study of its kind, Agents Under Fire defends a robust notion of agency and intentionality against eliminative and naturalistic alternatives, showing the interconnections between the philosophy of mind, theology, and Intelligent Design. Menuge argues that Behe's irreducible complexity is a challenge to reductionism not only in biology, but also in psychology, and shows the inability of the Darwinian psychology proposed by Dawkins, Dennett, and Steven Pinker to explain the integration, unity, direction, and reliability of rational thought. This fascinating defense against scientific materialism is the only book-length study relating Intelligent Design to contemporary issues in the philosophy of mind. Drawing on his experience as both a philosopher and a computer scientist, Menuge deftly shows the reader that the materialist's attempts to rid science of all commitment to teleology can only result in incoherence, and presents instead his own unique argument for the legitimacy of Intelligent Design.",4.44,0,Agents Under Fire: Materialism and the Rationality of Science,16,Philosophy,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Dahlia Rose,"The small boy trotted up to him with a crumpled piece of paper in his hand while his mother stood patiently and watched. As the child spoke, Captain Caine McIntosh fell in love with the curly-haired tot who asked for a dad to help protect him and his mom. When his soft-spoken mother came to grab him, Caine was instantly attracted to the wide-eyed beauty with ebony skin. He vowed to show her that she didnâ€™t have to be strong all by herself and to have her love.,Danika Lionel didnâ€™t know what to think when the sexy solider showed up at her door bearing gifts. The neighborhood in Far Rockaway where she lived was not her first choice to live with her son. But being a single mom she took what she could get until she had the opportunity to do better. Caine offered her and Ryan a chance to spend Christmas without worrying about gun shots in the street, and she accepted. She barely put the pieces of her heart back together four years ago when Ryan was born. For his sake, she had to be strong. Did she dare give Caine a chance and let this new love in?",3.84,11,Toy Soldiers,214,Romance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Daniel Way,Bart Sears",The most brutal villain in the Marvel Universe returns But has he gone too far this time? Did Sabretooth destroy an entire island of innocent humans? And what will happen when the U.S. Military tries to bring him down? Will they succeed - or pay the ultimate price?,3.11,12,Sabretooth: Open Season,36,Comics,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adam Palmer,"When fragments of stone with ancient writings are found in Sinai, the Egyptians call in expert, Daniel Klein. But when Daniel's decipherment of the ancient text threatens to reveal the origins of the Bible, others are determined to prevent the truth from seeing the light of day.",3.63,57,The Moses Legacy,490,Thriller,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Peter A. Lillback,"What was John Calvin's relationship to covenant theology? Tracing the historical development of the covenant idea, this title examines the writings of Calvin for evidence and description of Calvin's covenant thought. It argues that Calvin developed an extensive covenant theology. It is suitable for scholars of the Reformation and the 16th century.",3.87,5,The Binding of God: Calvin's Role in the Development of Covenant Theology,23,Religion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Momo Kapor,"Provincijalac, drugi roman Mome Kapora, seÄ‡anje je na detinjstvo, deÄaÅ¡tvo, na sarajevske dane rane mladosti. To je neÅ¾na priÄa o vremenu davno proÅ¡lom, o Niki Hercegu u godinama predratnim, ratnim i poratnim, priÄa o prvoj ljubavi, sazrevanju, radostima, razoÄarenjima - o Å¾ivotu samom.",4.19,6,Provincijalac,248,Contemporary,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
